nombre,poblacion,superficie,continente
Omán,4520471,309500,Asia
Irlanda,5149139,70273,Europa
Kuwait,4270571,17818,Asia
Panamá,4351267,75417,América
Mauritania,4614974,1030700,África
Croacia,3888529,56594,Europa
Georgia,3728573,69700,Asia
Mongolia,3378078,1564110,Asia
Armenia,2963900,29743,Asia
Jamaica,2827695,10991,América
Qatar,2688235,11586,Asia
Puerto Rico,3285874,9104,América
Albania,2793592,28748,Europa
Lituania,2862380,65300,Europa
Namibia,2587801,824292,África
Gambia,2705992,11295,África
Botsuana,2630296,581730,África
Gabón,2278825,267668,África
Lesoto,2142249,30355,África
Letonia,1830211,64589,Europa
Guinea Ecuatorial,1496662,28051,África
Trinidad y Tobago,1403375,5130,América
Estonia,1322765,45228,Europa
Timor Oriental,1340513,14874,Asia
Mauricio,1266334,2040,África
Chipre,1251488,9251,Asia
Suazilandia,1192271,17364,África
Yibuti,1105557,23200,África
Fiyi,930388,18274,Oceanía
Reunión,895312,2511,África
Comoras,888451,1862,África
Guyana,804567,214969,América
Bután,777486,38394,Asia
Macao,695168,30,Asia
Salomón,720197,28896,Oceanía
Montenegro,616644,13812,Europa
Luxemburgo,660809,2586,Europa
Surinam,618040,163820,América
Cabo Verde,561898,4033,África
Maldivas,521021,298,Asia
Malta,533286,316,Europa
Brunéi,449002,5765,Asia
Guadeloupe,395725,1628,América
Bahréin,1463265,765,Asia
Belice,405272,22966,América
Guinea-Bisáu,2060721,36125,África
Martinica,367507,1128,América
Islandia,376248,103000,Europa
Bahamas,393244,13943,América
Vanuatu,334506,12189,Oceanía
Barbados,281995,430,América
Samoa,205557,2842,Oceanía
Santo Tomé y Príncipe,223107,964,África
Santa Lucía,179667,616,América
Kiribati,119446,811,Oceanía
Micronesia,115023,702,Oceanía
Granada,125438,344,América
San Vicente y las Granadinas,110940,389,América
Tonga,99532,747,Oceanía
Seychelles,99202,455,África
Antigua y Barbuda,97929,442,América
Andorra,77265,468,Europa
Dominica,72737,751,América
Islas Marshall,41996,181,Oceanía
San Cristóbal y Nieves,47606,261,América
Liechtenstein,38378,160,Europa
Mónaco,36686,2,Europa
San Marino,34017,61,Europa
Palau,18024,459,Oceanía
Tuvalu,11312,26,Oceanía
Nauru,10876,21,Oceanía
Vaticano,764,0,Europa
